RR382-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
RR383-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
RR384-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
RR385-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
RR382-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
RR383-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
RR384-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
RR385-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
RR382-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
RR383-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
RR384-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
RR385-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
RR382-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
RR383-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
RR384-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
RR385-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2
