RR382-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
RR383-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
RR384-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
RR385-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
RR382-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
RR383-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
RR384-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
RR385-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
RR382-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
RR383-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
RR384-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
RR385-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
RR382-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
RR383-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
RR384-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
RR385-33|25|25|25|25|25|25|75|75|75|75|75|75|323.32|2|4
